[2017-09-19 10:31:21,099: INFO/ForkPoolWorker-1] Task main.tasks.check_future[353ae5d5-55c8-44e3-bacf-c2b5c0d999b6] succeeded in 0.1359623999996984s: None
[2017-09-19 10:31:21,144: INFO/ForkPoolWorker-4] Task main.tasks.check_playing[3de2d9aa-b031-445b-997e-45de3e78b45f] succeeded in 0.17428356200070994s: None
[2017-09-19 10:31:23,969: INFO/MainProcess] Received task: main.tasks.check_playing[27db5e2f-d449-4e86-a082-e28010e07507]  
[2017-09-19 10:31:23,976: INFO/MainProcess] Received task: main.tasks.check_future[ea831b56-f94a-4085-b917-b44ec0debb4b]  
[2017-09-19 10:31:23,983: INFO/ForkPoolWorker-1] Checking for games in PLAYING state. FOUND: 0
[2017-09-19 10:31:24,116: INFO/ForkPoolWorker-1] Task main.tasks.check_playing[27db5e2f-d449-4e86-a082-e28010e07507] succeeded in 0.14590702800069266s: None
[2017-09-19 10:31:24,184: INFO/ForkPoolWorker-4] Task main.tasks.check_future[ea831b56-f94a-4085-b917-b44ec0debb4b] succeeded in 0.2068992429994978s: None
[2017-09-19 10:31:26,975: INFO/MainProcess] Received task: main.tasks.check_future[82a67296-a34b-43a1-ab5b-8798e47c99b8]  
[2017-09-19 10:31:26,980: INFO/MainProcess] Received task: main.tasks.check_playing[fde6fe21-6a35-4ef7-aa0e-b53ff840b3fb]  
[2017-09-19 10:31:26,996: INFO/ForkPoolWorker-4] Checking for games in PLAYING state. FOUND: 0
[2017-09-19 10:31:27,097: INFO/ForkPoolWorker-1] Task main.tasks.check_future[82a67296-a34b-43a1-ab5b-8798e47c99b8] succeeded in 0.12096137899970927s: None
[2017-09-19 10:31:27,131: INFO/ForkPoolWorker-4] Task main.tasks.check_playing[fde6fe21-6a35-4ef7-aa0e-b53ff840b3fb] succeeded in 0.149265681999168s: None
[2017-09-19 10:31:29,981: INFO/MainProcess] Received task: main.tasks.check_playing[3b82a223-c46c-45c9-b190-dd6a100b34f1]  
